classes_id,subject_id,subject_name,class_name,classes_id_validator
192,24,HIST-History,358-History of Russia II,192
193,24,HIST-History,362-Hist of Latin America,193
194,24,HIST-History,368-Gender in Chinese History,194
195,24,HIST-History,372-European Diplomatic Hist,195
196,24,HIST-History,385-Arab-Israeli Conflict,196
197,24,HIST-History,395-US Hist & Popular Culture,197
198,24,HIST-History,428-Digital History,198
199,24,HIST-History,457-History of Conspiracy Theories,199
200,24,HIST-History,471F3-Medicine & the Body 1400-1800,200
201,24,HIST-History,471F5-History of Childhood,201
202,24,HIST-History,471G2-Hist of American Citizenship,202
203,25,IDIS-Sports Management,130-Intro to Sports Management,203
204,26,ITAL-Italian,102-Beginning Italian II,204
205,26,ITAL-Italian,202-Intermediate Italian II,205
206,26,ITAL-Italian,316-Italian Society & Civilization,206
207,27,LATN-Latin,102-Elementary Latin,207
208,27,LATN-Latin,202-Intermediate Latin,208
209,27,LATN-Latin,358-Ovid,209
210,28,LING-Linguistics,101B-Intro to Linguistics,210
211,28,LING-Linguistics,205-Writing Systems of the World,211
212,28,LING-Linguistics,301A-Intro Psycholinguistics,212
213,28,LING-Linguistics,308-Language and Race,213
214,28,LING-Linguistics,309-Introduction to Phonology,214
215,28,LING-Linguistics,470U-Linguistics of Names,215
216,29,MATH-Mathematics,110-Finite Math with Applications,216
217,29,MATH-Mathematics,111-Precalculus,217
218,29,MATH-Mathematics,115A-Intr Math Modeling,218
219,29,MATH-Mathematics,201-Intro to Discrete Mathematics,219
220,29,MATH-Mathematics,207-History of Math,220
221,29,MATH-Mathematics,253-Introduction to Cryptography,221
222,29,MATH-Mathematics,300-Linear Algebra,222
223,29,MATH-Mathematics,312-Differential Equations,223
224,29,MATH-Mathematics,330-Foundations of Advanced Math,224
225,29,MATH-Mathematics,361A-Problems in Industry,225
226,29,MATH-Mathematics,372A-Modern Geometry,226
227,29,MATH-Mathematics,431-Abstract Algebra,227
228,29,MATH-Mathematics,432-Abstract Algebra,228
229,29,MATH-Mathematics,461S-Graph Theory,229
230,29,MATH-Mathematics,471-Real Analysis,230
231,29,MATH-Mathematics,472-Real Analysis,231
232,29,MATH-Mathematics,481-Theory of Interest,232
233,30,MUHL-Music History,152-Music and Society,233
234,30,MUHL-Music History,156-American Music,234
235,30,MUHL-Music History,376-Music Hist II Narratives&Ideol,235
236,31,MUPR-Music Appreciation,347A-Choral Conducting,236
237,32,MUSC-Music,473A-SS:Street Choir,237
238,32,MUSC-Music,490-Music Seminar,238
239,33,MUTC-Music Technology,100-Technology for Musicians,239
240,33,MUTC-Music Technology,320-Audio Recording,240
241,34,MUTH-Music Theory,181A-Materls & Sources Musi Theory,241
242,34,MUTH-Music Theory,191-Diatonic Music Theory,242
243,34,MUTH-Music Theory,391-Post-Tonal Music Theory,243
244,35,PHIL-Philsophy,101-Intro to Philosophy,244
245,35,PHIL-Philsophy,110-Intro Law & Legal Writing,245
246,35,PHIL-Philsophy,151B-Introductory Logic,246
247,35,PHIL-Philsophy,202-Early Modern Philosophy,247
248,35,PHIL-Philsophy,220-Intro to Feminism,248
249,35,PHIL-Philsophy,284-Buddhism,249
250,35,PHIL-Philsophy,301-Medieval Philosophy,250
251,35,PHIL-Philsophy,307-Philosophy of Language,251
252,35,PHIL-Philsophy,330-Environmental Ethics,252
253,35,PHIL-Philsophy,485-Research in Philosophy,253
254,36,PHYS-Physical Education,104-Elementary Astronomy,254
255,36,PHYS-Physical Education,108-General Physics,255
256,36,PHYS-Physical Education,110-University Physics,256
257,37,PSCI-Political Science,101A-Intro to Political Science,257
258,37,PSCI-Political Science,102A-Intro to Internatn'l Relations,258
259,37,PSCI-Political Science,202A-American Public Policy,259
260,37,PSCI-Political Science,312A-The American Presidency,260
261,37,PSCI-Political Science,315-Alliance Politics,261
262,37,PSCI-Political Science,321A-Theories of Internatnl Relatns,262
263,37,PSCI-Political Science,323-Latin American Politics,263
264,37,PSCI-Political Science,350B-Politics Developing Countries,264
265,37,PSCI-Political Science,351-International Political Econom,265
266,37,PSCI-Political Science,355-Politics Mid East & N Africa,266
267,37,PSCI-Political Science,356-American Foreign Policy,267
268,37,PSCI-Political Science,357A-Russian Foreign Policy,268
269,37,PSCI-Political Science,363-Mass Media Politics,269
270,37,PSCI-Political Science,367-East Asia in World Affairs,270
271,37,PSCI-Political Science,370-Women and Politics,271
272,37,PSCI-Political Science,387-Security & Conflict Studies,272
273,37,PSCI-Political Science,442A-History Political Thought II,273
274,37,PSCI-Political Science,471C2-US Constitutional Reform,274
275,37,PSCI-Political Science,471D4-Intelligence&National Security,275
276,37,PSCI-Political Science,471D6-Contemporary Africa,276
277,38,PSYC-Psychology,100-General Psychology,277
278,38,PSYC-Psychology,201-Social Psychology,278
279,38,PSYC-Psychology,211-Abnormal Psychology,279
280,38,PSYC-Psychology,231-Dev Psyc: The Infant and Child,280
281,38,PSYC-Psychology,233-Psychology of Aging,281
282,38,PSYC-Psychology,242-Psychology of Personality,282
283,38,PSYC-Psychology,253-Fndmntl Learning & Motivation,283
284,38,PSYC-Psychology,261A-Intro Statistics for Psyc,284
285,38,PSYC-Psychology,273-Cognitive Psychology,285
286,38,PSYC-Psychology,274-Biological Psychology,286
287,38,PSYC-Psychology,305-Cognitive Neuroscience,287
288,38,PSYC-Psychology,315-Foundations of Clinical Psych,288
289,38,PSYC-Psychology,320-Psyc of Excep Children & Youth,289
290,38,PSYC-Psychology,339-Health Psychology,290
291,38,PSYC-Psychology,346-Forensic Psychology,291
292,38,PSYC-Psychology,350-Psychology of Women,292
293,38,PSYC-Psychology,360A-Advanced Statistics for Psyc,293
294,38,PSYC-Psychology,372-Sensation and Perception,294
295,38,PSYC-Psychology,385-Indust/Organiz Psy,295
296,38,PSYC-Psychology,387-Organizational Develp & Change,296
297,38,PSYC-Psychology,394-Psychopharmacology,297
298,38,PSYC-Psychology,411-Sem Abnml-Persnlty-Soc Psyc,298
299,38,PSYC-Psychology,412-Resrch Sem in Biol Psych,299
300,38,PSYC-Psychology,413-Seminar-Cognition or Learning,300
301,39,RELG-Religion,101-Intro to World Religions,301
302,39,RELG-Religion,103-The Abrahamic Religions,302
303,39,RELG-Religion,208-Christianity After New Testame,303
304,39,RELG-Religion,231C3-The Bible & The Quran,304
305,39,RELG-Religion,231K-SS:Roman Catholicism,305
306,39,RELG-Religion,278-Relg in Amer After Civil War,306
307,39,RELG-Religion,284-Buddhism,307
308,39,RELG-Religion,331RR-Relg Tolerance/Intoleran in Am,308
309,39,RELG-Religion,341B-Major Thinkers: Augustine,309
310,40,SOCG-Sociology,105-The Social World,310
311,40,SOCG-Sociology,155-Social Issues,311
312,40,SOCG-Sociology,304-Social Stratification,312
313,40,SOCG-Sociology,315A-Gender and Society,313
314,40,SOCG-Sociology,332-Intro Soc Welfare,314
315,40,SOCG-Sociology,352-Criminology,315
316,40,SOCG-Sociology,371A6-Environmental Criminology,316
317,40,SOCG-Sociology,440-Sociology of Education,317
318,40,SOCG-Sociology,472-Contemp Sociological Theories,318
319,41,SPAN-Spanish,101-Beginning Spanish I,319
320,41,SPAN-Spanish,102-Beginning Spanish II,320
321,41,SPAN-Spanish,201A-Intermediate Spanish I,321
322,41,SPAN-Spanish,202A-Intermediate Spanish II,322
323,41,SPAN-Spanish,305-Conversation and Grammar,323
324,41,SPAN-Spanish,306-Composition and Grammar,324
325,41,SPAN-Spanish,312-Intro to Lit Studies in Span,325
326,41,SPAN-Spanish,314-Sounds of Spanish:Theory & Pra,326
327,41,SPAN-Spanish,320J-Latinx Language Discrimination,327
328,41,SPAN-Spanish,324A-Intro to Spanish Literature,328
329,41,SPAN-Spanish,393-Business Spanish,329
330,41,SPAN-Spanish,413-Advanced Writing,330
331,41,SPAN-Spanish,481L-Galdos & 19th Cent Span Novel,331
332,42,STAT-Statistics,180-Introduction to Statistics,332
333,42,STAT-Statistics,280-Statistical Methods,333
334,42,STAT-Statistics,320-Applied Regression Analysis,334
335,42,STAT-Statistics,382-Probability & Statistical Inf,335
336,43,THEA-Theater,111-Introduction to Theatre,336
337,43,THEA-Theater,112-Introduction to Acting,337
338,43,THEA-Theater,113-Intro Thea Design,338
339,43,THEA-Theater,211A-Dramatic Literature,339
340,43,THEA-Theater,212A-Dramatic Literature,340
341,43,THEA-Theater,271C-Costume Crafts,341
342,43,THEA-Theater,290-Scene Painting,342
343,43,THEA-Theater,311-Fashion History,343
344,43,THEA-Theater,318-Stage Dialects,344
345,43,THEA-Theater,331-Playwriting,345
346,43,THEA-Theater,336-Musical Theatre Performance,346
347,43,THEA-Theater,362-Theatre History and Literature,347
348,43,THEA-Theater,433-Lighting Design,348
349,43,THEA-Theater,435-Ideas in Performance,349
350,43,THEA-Theater,481-Resource Strategies Arts Admin,350
351,44,WGST-Women and Gender Studies,101-Intro to Women's Studies,351
352,44,WGST-Women and Gender Studies,102-Prsp in Sexualities:Queer Stu,352
